Date,Visits,HHS,Price,MRP,Discount,Feature,TPR,Display,Wind Speed,Precipitation,Tmax,Tmin,Tavg,Gasoline Price,Diesel Price,Unemployment,Econ_Index,Sales
03-01-2009,0.477908914,1.916162561,2.24106053,-1.153256209,0.292490176,-1.10880296,0.029863506,-0.894397481,9.058332913,11.08290306,8.854501347,8.901679348,10.48287615,6.172204823,6.548854302,8.874537399,7.973540326,2.206254012
07-01-2009,-0.11908908,-1.642737714,-1.581899272,1.126123802,1.267159867,-0.307051827,0.956086649,1.561272444,10.21877863,7.696473243,10.49228739,8.636826124,9.415670839,8.794827458,13.70181546,9.97200825,7.883789684,0.868935408
10-01-2009,-0.066975216,0.327335651,0.453339086,0.002602286,-2.050313905,0.493034579,-0.392879729,-1.323588511,9.765772824,9.39591305,6.873220779,8.40280185,9.077814586,12.1118216,10.68509913,6.473272297,10.64710312,0.410874433
11-01-2009,-0.09887003,0.449552109,0.30839153,-0.396970586,-1.118038125,1.647678809,-0.040480797,0.129102142,11.94750493,9.039843194,9.396630809,7.644043179,7.606825993,11.62272663,12.70993756,9.854994159,12.00586509,1.55482321
13-01-2009,0.630808226,0.845349852,1.363511573,-0.20805826,-0.300008332,-0.290472175,-0.094031291,0.022472709,10.17104191,9.400104902,9.938098684,5.914004707,9.559700159,10.7120823,12.95319693,8.962563217,8.382174493,0.176334086
13-01-2009,-0.056926095,-1.758149609,-2.000434364,0.725637522,-0.529690611,-0.848086016,0.826582528,-0.955522212,9.341872304,9.213940537,6.902511524,10.39734333,10.52105833,10.00822487,9.528919568,7.16854159,9.157793484,0.956818968
13-01-2009,-1.204865277,-0.366462649,-1.350052846,-0.057316534,1.353208089,-1.869369903,0.892931253,-0.695427767,6.160608832,9.944982855,9.876557324,14.65183692,9.614316543,10.60097407,9.928590345,7.66187766,12.28441706,2.359761978
14-01-2009,-0.676279008,0.485254602,-0.098432077,-0.17521382,-0.652698292,1.689038442,0.18129604,0.287567818,8.864744319,10.19726287,8.776316218,6.771737552,10.13611224,7.873817494,10.94499542,8.160335416,13.09855882,2.861824554
14-01-2009,2.941959066,-1.403806867,1.094592848,1.697498406,-1.030472067,0.551938204,-0.748896549,-0.896364902,10.51660966,11.56133301,7.344719603,7.223679577,11.04277874,10.59185055,10.4988855,10.69182713,8.639086562,0.179329134
17-01-2009,0.169854146,-0.457888637,-0.254145608,0.321555632,0.052158836,2.932153804,0.657746493,0.203883965,11.57069696,12.31472772,8.157192251,11.70730002,10.8244793,11.6417915,13.79082725,9.508272846,8.491678419,1.386331038
18-01-2009,-1.178630829,1.444461401,0.515727776,-1.097561618,0.551241834,-0.599577093,-0.121515875,0.441402804,9.467845128,15.43725027,10.98017753,8.133228285,7.857429182,10.96275184,9.551163814,11.42685819,10.9453806,2.052523531
19-01-2009,-0.391490618,0.481660719,0.334507988,-0.225394036,-1.719415312,0.845825541,0.928417444,-0.493879007,10.76740357,8.230638671,10.05904066,9.930275356,7.713287998,10.71343161,11.11934474,12.16488588,12.10639334,1.234238512
21-01-2009,0.779322143,-0.335505457,0.527604529,0.546224106,-0.944589056,0.885148252,-0.040269439,0.284832049,11.90443113,11.30052195,9.143657488,11.30600837,8.453504136,9.524457514,9.02746705,10.1627319,14.6278542,3.346847197
22-01-2009,-0.915065673,0.152180346,-0.62683123,-0.296078401,-2.011638143,0.968066037,-0.713280151,-1.230125156,11.35578774,8.537558883,10.18148388,9.905466636,8.695929625,14.2850306,11.26558448,5.949119855,10.37187134,-0.029232613
23-01-2009,0.095753864,0.21417934,0.302002918,-0.089200983,-0.086318575,0.808721139,0.211956333,-0.259758786,9.047394345,8.691602867,13.20481359,10.61106009,7.477484268,11.83335675,14.24146353,12.06372403,6.960563942,-0.65937556
23-01-2009,0.648287777,0.571414634,0.810564833,-0.397468369,-0.634422177,-1.950019803,0.449481679,-0.978549404,7.94883935,9.492964724,7.323576785,13.02074987,7.139003272,9.118087044,10.25942886,12.88125832,7.12756287,-0.248137318
24-01-2009,-0.686148051,0.624340023,0.090068193,-0.449976754,1.931536705,0.031907368,-0.082718784,1.186415958,10.22396658,11.3219965,12.85458762,7.385920613,14.26464014,6.094605236,9.694490524,11.17551675,10.56092754,3.188844499
29-01-2009,0.201256754,-0.37853473,-0.248935128,0.212134263,1.360075855,-1.023385511,-1.1387371,0.610161348,10.61141466,11.62339909,10.98790957,8.188516995,8.878749956,11.49228829,11.21849638,9.957200992,10.2336313,1.309644527
29-01-2009,-0.298487108,-0.862179538,-1.087848249,0.372474688,0.925586741,-1.432525293,-0.100595028,0.438587285,12.60717433,10.03999928,11.09003581,9.206884303,10.64726787,9.737765948,10.19195313,11.18919502,8.362722278,1.048704663
29-01-2009,1.293708131,1.220069365,2.16774903,-0.509920382,-0.411028375,-1.027698405,-1.203319632,-1.910422966,8.20302961,10.14957879,8.437315771,11.73035506,9.704914648,8.347335805,9.355356871,10.82478032,8.871663639,0.502711189
30-01-2009,1.411972011,-0.16529535,0.883141898,0.313204441,0.224920925,-1.617061811,0.701010615,-0.067028173,8.560542624,9.571191075,10.36582939,12.71241933,11.71414771,9.678186915,9.959975191,7.994141777,9.961977431,1.878877534
31-01-2009,-0.788942851,2.148924982,1.597298205,-1.260136807,0.11415268,-1.302098885,-0.366072409,0.416725086,9.194799789,10.44609533,9.783577848,10.00775772,8.453135034,10.04701054,10.99379738,12.90099699,11.9173498,1.404624519
31-01-2009,0.068995453,0.459168899,0.767806459,0.102484868,0.565347097,0.092961015,0.630939966,0.970462794,5.750482889,8.946700259,8.277324871,10.11125308,10.6824436,13.74959121,11.89846751,8.845308069,8.20235034,-0.130960335
02-02-2009,0.150009173,-1.841341947,-1.704562522,1.270134234,-1.547610205,0.070351538,1.119511081,-0.072154877,12.47188993,6.809782453,8.58913983,9.826294431,10.09295179,9.098049083,11.24345072,7.863972665,9.714269506,0.966596749
04-02-2009,0.892237234,1.357274907,2.383719654,-0.229427444,0.156333535,-0.21074348,0.666648087,-0.530833423,13.09837326,10.229303,12.06075224,9.948552283,14.1200837,13.50797955,9.500171289,11.94194759,11.28962282,1.588802914
06-02-2009,0.876963427,-0.052064117,0.622576973,0.267706457,0.124463808,0.127219188,1.102743052,0.997955746,11.43165399,13.00211316,9.903618192,13.01329804,7.239073104,6.591916474,9.886926821,10.76705408,9.933617043,3.234598078
07-02-2009,1.241834169,-1.156160858,-0.118774393,1.105145621,0.776849474,0.517809495,-1.314359117,-0.49390346,9.871679413,11.90790258,7.835059903,10.80554412,8.938590815,8.412571485,9.783982092,7.928722404,8.891812119,1.590525676
07-02-2009,-1.207331823,-0.664125613,-1.549501052,0.124554025,0.919795311,-0.49423798,-0.893079619,-0.330181477,11.51156092,8.937209905,8.635117958,9.276018508,5.395618055,6.968223952,12.73120179,13.28860643,9.500977728,0.956988378
07-02-2009,1.389929698,-0.365724593,0.933078554,0.706610132,-0.115552884,-1.777007766,0.58961051,0.204521422,8.48475232,7.154061482,8.497019045,7.692704959,13.37294584,11.76092686,9.982057906,12.95859229,10.15372114,-0.016228152
08-02-2009,-0.132639847,-1.888609481,-2.085842144,0.913822607,0.82017412,0.608915,-0.341423364,0.03424344,13.81468763,7.201424279,10.85780336,8.538658508,9.024846658,8.813449109,8.270364057,10.09603355,8.337265957,1.687407248
10-02-2009,0.960424747,-0.834691355,0.121160196,0.955669007,-0.213388114,-1.93008647,0.978338099,-0.100690962,10.19560501,11.50047369,6.500654772,10.88272473,8.673885007,11.1389691,8.471786991,6.389596775,6.744240633,0.549350821
10-02-2009,-1.179338455,0.498659266,-0.520663165,-0.595843812,0.254727918,-0.932594628,-1.831220003,-1.141005732,10.0917689,8.277517435,9.008424489,11.79155404,8.845331639,11.66904995,7.739038173,11.05850239,12.88184893,1.585663225
12-02-2009,1.568491051,-0.550357866,0.736982721,0.639689644,-0.220487762,-1.671795123,-0.008559986,-1.444634064,12.33186345,10.50673992,10.41793288,9.00740314,9.023885073,9.133056648,10.7867465,9.157115235,10.57849176,1.486349986
